latitude,longitude,Country,streak_months,streak_start,streak_end,n_users,user_ids,n_obs,Category
51.018813,13.758159,Germany,22.0,2021-03,2022-12,1,[40769],76,virtual scale
47.726031,13.064971,Austria,22.0,2018-12,2020-09,2,"[2316, 4264]",562,soil moisture
39.10845,-121.338653,United States of America,21.0,2023-08,2025-04,1,[72995],65,physical scale
47.127686,8.743197,Switzerland,21.0,2019-02,2020-10,4,"[4152, 6542, 2203, 2005]",240,virtual scale
47.985418,7.959271,Germany,21.0,2021-10,2023-06,1,[11290],148,virtual scale
48.092295,-1.805945,France,20.0,2021-09,2023-04,1,[16741],23,temporary stream
48.34563,16.239208,Austria,20.0,2021-01,2022-08,1,[29542],88,soil moisture
47.985406,7.959071,Germany,18.0,2019-01,2020-06,1,[11290],187,virtual scale
48.125518,15.129206,Austria,18.0,2018-03,2019-08,1,[5514],74,virtual scale
38.910211,-77.318062,United States of America,18.0,2021-09,2023-02,1,[56020],144,virtual scale
48.106979,-1.80085,France,17.0,2021-02,2022-06,1,[16741],20,temporary stream
47.303375,7.695009,Switzerland,17.0,2018-06,2019-10,1,[7079],214,virtual scale
46.505148,6.641866,Switzerland,16.0,2023-03,2024-06,1,[52314],92,virtual scale
47.391856,8.523348,Switzerland,16.0,2017-04,2018-07,5,"[2277, 2519, 2005, 1996, 4198]",65,virtual scale
47.319702,8.482807,Switzerland,16.0,2021-08,2022-11,3,"[6400, 2267, 3072]",39,temporary stream
47.316854,7.652748,Switzerland,16.0,2018-06,2019-09,1,[7079],161,soil moisture
44.223495,-69.079544,United States of America,16.0,2023-05,2024-08,1,[82037],114,physical scale
47.318585,8.482644,Switzerland,16.0,2021-08,2022-11,3,"[6400, 2267, 3072]",40,temporary stream
41.970688,75.750345,Kyrgyzstan,16.0,2024-08,2025-11,2,"[87715, 85987]",27,virtual scale
47.394524,8.576044,Switzerland,15.0,2021-09,2022-11,2,"[35124, 11370]",52,temporary stream
47.383756,8.578685,Switzerland,15.0,2021-09,2022-11,1,[35124],52,temporary stream
44.235586,-69.100391,United States of America,15.0,2023-06,2024-08,1,[82037],95,virtual scale
52.858377,-6.106779,Ireland,15.0,2023-03,2024-05,1,[77727],39,virtual scale
-37.830344,-71.674649,Chile,15.0,2020-05,2021-07,6,"[28674, 28321, 28317, 28694, 28682, 28688]",194,virtual scale
47.381577,8.577933,Switzerland,15.0,2021-09,2022-11,2,"[35124, 65630]",54,temporary stream
47.391408,8.57954,Switzerland,15.0,2021-09,2022-11,2,"[35124, 11370]",53,temporary stream
